Token;Label
aventure;
d';
amour;
qui;
parlerait;
sans;
cesse;
à;
sa;
pensée;
des;
espoirs;
chéris;
;
et;
ferait;
planer;
chaque;
nuit;
;
sur;
son;
sommeil;
;
cette;
tendresse;
antique;
et;
légendaire;
.;
Tout;
le;
reste;
du;
mobilier;
unissait;
les;
styles;
les;
plus;
divers;
.;
C';
étaient;
ces;
meubles;
que;
chaque;
génération;
laisse;
dans;
la;
famille;
et;
qui;
font;
des;
anciennes;
maisons;
des;
sortes;
de;
musées;
où;
tout;
se;
mêle;
.;
Une;
commode;
Louis;B-PER
XIV;I-PER
superbe;
;
cuirassée;
de;
cuivres;
éclatants;
;
était;
flanquée;
de;
deux;
fauteuils;
Louis;B-PER
XV;I-PER
encore;
vêtus;
de;
leur;
soie;
à;
bouquets;
.;
Un;
secrétaire;
en;
bois;
de;
rose;
faisait;
face;
à;
la;
cheminée;
qui;
présentait;
;
sous;
un;
globe;
rond;
;
une;
pendule;
de;
l';B-ORG
Empire;I-ORG
.;
C';
était;
une;
ruche;
de;
bronze;
;
suspendue;
par;
quatre;
colonnes;
de;
marbre;
au-dessus;
d';
un;
jardin;
de;
fleurs;
dorées;
.;
Un;
mince;
balancier;
sortant;
de;
la;
ruche;
;
par;
une;
fente;
allongée;
;
promenait;
éternellement;
sur;
ce;
parterre;
une;
petite;
abeille;
aux;
ailes;
d';
émail;
.;
Le;
cadran;
était;
en;
faïence;
peinte;
et;
encadré;
dans;
le;
flanc;
de;
la;
ruche;
.;
Elle;
se;
mit;
à;
sonner;
onze;
heures;
.;
Le;B-PER
baron;I-PER
embrassa;
sa;
fille;
;
et;
se;
retira;
chez;
lui;
.;
Alors;
;
Jeanne;B-PER
;
avec;
regret;
;
se;
coucha;
.;
D';
un;
dernier;
regard;
elle;
parcourut;
sa;
chambre;
;
et;
puis;
éteignit;
sa;
bougie;
.;
Mais;
le;
lit;
;
dont;
la;
tête;
seule;
s';
appuyait;
à;
la;
muraille;
;
avait;
une;
fenêtre;
sur;
sa;
gauche;
;
par;
où;
entrait;
un;
flot;
de;
lune;
qui;
répandait;
à;
terre;
une;
flaque;
de;
clarté;
.;
Des;
reflets;
rejaillissaient;
aux;
murs;
;
des;
reflets;
pâles;
caressant;
faiblement;
les;
amours;
immobiles;
de;
Pyrame;B-PER
et;
de;
Thysbé;B-PER
.;
Par;
l';
autre;
fenêtre;
;
en;
face;
de;
ses;
pieds;
;
Jeanne;B-PER
apercevait;
un;
grand;
arbre;
tout;
baigné;
de;
lumière;
douce;
.;
Elle;
se;
tourna;
sur;
le;
côté;
;
ferma;
les;
yeux;
;
puis;
;
au;
bout;
de;
quelque;
temps;
;
les;
rouvrit;
.;
Elle;
croyait;
se;
sentir;
encore;
secouée;
par;
les;
cahots;
de;
la;
voiture;
dont;
le;
roulement;
continuait;
dans;
sa;
tête;
.;
Elle;
resta;
d';
abord;
immobile;
;
espérant;
que;
ce;
repos;
la;
ferait;
enfin;
s';
endormir;
;
mais;
l';
impatience;
de;
son;
esprit;
envahit;
bientôt;
tout;
son;
corps;
.;
Elle;
avait;
des;
crispations;
dans;
les;
jambes;
;
une;
fièvre;
qui;
grandissait;
.;
Alors;
elle;
se;
leva;
;
et;
;
nu;
-;
pieds;
;
nu;
-;
bras;
;
avec;
sa;
longue;
chemise;
qui;
lui;
donnait;
l';
aspect;
d';
un;
fantôme;
;
elle;
traversa;
la;
mare;
de;
lumière;
répandue;
sur;
son;
plancher;
;
ouvrit;
sa;
fenêtre;
et;
regarda;
.;
La;
nuit;
était;
si;
claire;
qu';
on;
y;
voyait;
comme;
en;
plein;
jour;
;
et;
la;
jeune;
fille;
reconnaissait;
tout;
ce;
pays;
;
aimé;
jadis;
dans;
sa;
première;
enfance;
.;
C';
était;
d';
abord;
;
en;
face;
d';
elle;
;
un;
large;
gazon;
;
jaune;
comme;
du;
beurre;
sous;
la;
lumière;
nocturne;
.;
Deux;
arbres;
géants;
se;
dressaient;
aux;
pointes;
;
devant;
le;
château;
;
un;
platane;
au;
nord;
;
un;
tilleul;
au;
sud;
.;
Tout;
au;
bout;
de;
la;
grande;
étendue;
d';
herbe;
;
un;
petit;
bois;
en;
bosquet;
terminait;
ce;
domaine;
;
garanti;
des;
ouragans;
du;
large;
par;
cinq;
rangs;
d';
ormes;
antiques;
;
tordus;
;
rasés;
;
rongés;
;
taillés;
en;
pente;
comme;
un;
toit;
par;
le;
vent;
de;
mer;
toujours;
déchaîné;
.;
Cette;
espèce;
de;
parc;
était;
borné;
;
à;
droite;
et;
à;
gauche;
;
par;
deux;
longues;
avenues;
de;
peupliers;
démesurés;
;
appelés;
peuples;
en;
Normandie;B-LOC
;
qui;
séparaient;
la;
résidence;
des;
maîtres;
des;
deux;
fermes;
y;
attenant;
;
occupées;
;
l';
une;
par;
la;B-PER
famille;I-PER
Couillard;I-PER
;
l';
autre;
par;
la;B-PER
famille;I-PER
Martin;I-PER
.;
Ces;
peuples;
avaient;
donné;
leur;
nom;
au;
château;
.;
Au;
-;
delà;
de;
cet;
enclos;
;
s';
étendait;
une;
vaste;
plaine;
inculte;
;
semée;
d';
ajoncs;
;
où;
la;
brise;
sifflait;
et;
galopait;
jour;
et;
nuit;
.;
Puis;
;
soudain;
;
la;
côte;
s';
abattait;
en;
une;
falaise;
de;
cent;
mètres;
;
droite;
et;
blanche;
;
baignant;
son;
pied;
dans;
les;
vagues;
.;
Jeanne;B-PER
regardait;
au;
loin;
la;
longue;
surface;
moirée;
des;
flots;
qui;
semblaient;
dormir;
sous;
les;
étoiles;
.;
Dans;
cet;
apaisement;
du;
soleil;
absent;
;
toutes;
les;
senteurs;
de;
la;
terre;
se;
répandaient;
.;
Un;
jasmin;
;
grimpé;
autour;
des;
fenêtres;
d';
en;
bas;
;
exhalait;
continuellement;
son;
haleine;
pénétrante;
qui;
se;
mêlait;
à;
l';
odeur;
;
plus;
légère;
;
des;
feuilles;
naissantes;
.;
De;
lentes;
rafales;
passaient;
;
apportant;
les;
saveurs;
fortes;
de;
l';
air;
salin;
et;
de;
la;
sueur;
visqueuse;
des;
varechs;
.;
La;
jeune;
fille;
s';
abandonna;
au;
bonheur;
de;
respirer;
;
et;
le;
repos;
de;
la;
campagne;
la;
calma;
comme;
un;
bain;
frais;
.;
Toutes;
les;
bêtes;
qui;
s';
éveillent;
quand;
vient;
le;
soir;
et;
cachent;
leur;
existence;
obscure;
dans;
la;
tranquillité;
des;
nuits;
;
emplissaient;
les;
demi-ténèbres;
d';
une;
agitation;
silencieuse;
.;
De;
grands;
oiseaux;
;
qui;
ne;
criaient;
point;
;
fuyaient;
dans;
l';
air;
comme;
des;
taches;
;
comme;
des;
ombres;
;
des;
bourdonnements;
d';
insectes;
invisibles;
effleuraient;
l';
oreille;
;
des;
courses;
muettes;
traversaient;
l';
herbe;
pleine;
de;
rosée;
ou;
le;
sable;
des;
chemins;
déserts;
.;
Seuls;
quelques;
crapauds;
mélancoliques;
poussaient;
vers;
la;
lune;
leur;
note;
courte;
et;
monotone;
.;
Il;
semblait;
à;
Jeanne;B-PER
que;
son;
cœur;
s';
élargissait;
;
plein;
de;
murmures;
comme;
cette;
soirée;
claire;
;
fourmillant;
soudain;
de;
mille;
désirs;
rôdeurs;
;
pareils;
à;
ces;
bêtes;
nocturnes;
dont;
le;
frémissement;
l';
entourait;
.;
Une;
affinité;
l';
unissait;
à;
cette;
poésie;
vivante;
;
et;
dans;
la;
molle;
blancheur;
de;
la;
nuit;
;
elle;
sentait;
courir;
des;
frissons;
surhumains;
;
palpiter;
des;
espoirs;
insaisissables;
;
quelque;
chose;
comme;
un;
souffle;
de;
bonheur;
.;
Et;
elle;
se;
mit;
à;
rêver;
d';
amour;
.;
L';
amour;
!;
Il;
l';
emplissait;
depuis;
deux;
années;
de;
l';
anxiété;
croissante;
de;
son;
approche;
.;
Maintenant;
elle;
était;
libre;
d';
aimer;
;
elle;
n';
avait;
plus;
qu';
à;
le;
rencontrer;
;
lui;
!;
Comment;
serait;
-il;
?;
Elle;
ne;
le;
savait;
pas;
au;
juste;
et;
ne;
se;
le;
demandait;
même;
pas;
.;
Il;
serait;
lui;
;
voilà;
tout;
.;
Elle;
savait;
seulement;
qu';
elle;
l';
adorerait;
de;
toute;
son;
âme;
et;
qu';
il;
la;
chérirait;
de;
toute;
sa;
force;
.;
Ils;
se;
promèneraient;
par;
les;
soirs;
pareils;
à;
celui-ci;
;
sous;
la;
cendre;
lumineuse;
qui;
tombait;
des;
étoiles;
.;
Ils;
iraient;
;
les;
mains;
dans;
les;
mains;
;
serrés;
l';
un;
contre;
l';
autre;
;
entendant;
battre;
leurs;
cœurs;
;
sentant;
la;
chaleur;
de;
leurs;
épaules;
;
mêlant;
leur;
amour;
à;
la;
simplicité;
suave;
des;
nuits;
d';
été;
;
tellement;
unis;
qu';
ils;
pénétreraient;
aisément;
;
par;
la;
seule;
puissance;
de;
leur;
tendresse;
;
jusqu';
à;
leurs;
plus;
secrètes;
pensées;
.;
Et;
cela;
continuerait;
indéfiniment;
;
dans;
la;
sérénité;
d';
une;
affection;
indescriptible;
.;
Et;
il;
lui;
sembla;
soudain;
qu';
elle;
le;
sentait;
là;
;
contre;
elle;
;
et;
brusquement;
un;
vague;
frisson;
de;
sensualité;
lui;
courut;
des;
pieds;
à;
la;
tête;
.;
Elle;
serra;
ses;
bras;
contre;
sa;
poitrine;
;
d';
un;
mouvement;
inconscient;
;
comme;
pour;
étreindre;
son;
rêve;
;
et;
;
sur;
sa;
lèvre;
tendue;
vers;
l';
inconnu;
;
quelque;
chose;
passa;
qui;
la;
fit;
presque;
défaillir;
;
comme;
si;
l';
haleine;
du;
printemps;
lui;
eût;
donné;
un;
baiser;
d';
amour;
.;
Tout;
à;
coup;
;
là;
-;
bas;
;
derrière;
le;
château;
;
sur;
la;
route;
;
elle;
entendit;
marcher;
dans;
la;
nuit;
.;
Et;
dans;
un;
élan;
de;
son;
âme;
affolée;
;
dans;
un;
transport;
de;
foi;
à;
l';
impossible;
;
aux;
hasards;
providentiels;
;
aux;
pressentiments;
divins;
;
aux;
romanesques;
combinaisons;
du;
sort;
;
elle;
pensa;
:;
«;
Si;
c';
était;
lui;
?;
»;
Elle;
écoutait;
anxieusement;
le;
pas;
rythmé;
du;
marcheur;
;
sûre;
qu';
il;
allait;
s';
arrêter;
à;
la;
grille;
pour;
demander;
l';
hospitalité;
.;
Lorsqu';
il;
fut;
passé;
;
elle;
se;
sentit;
triste;
comme;
après;
une;
déception;
.;
Mais;
elle;
comprit;
l';
exaltation;
de;
son;
espoir;
et;
sourit;
à;
sa;
démence;
.;
Alors;
;
un;
peu;
calmée;
;
elle;
laissa;
flotter;
son;
esprit;
au;
courant;
d';
une;
rêverie;
plus;
raisonnable;
;
cherchant;
à;
pénétrer;
l';
avenir;
;
échafaudant;
son;
existence;
.;
Avec;
lui;
elle;
vivrait;
ici;
;
dans;
ce;
calme;
château;
qui;
dominait;
la;
mer;
.;
Elle;
aurait;
sans;
doute;
deux;
enfants;
;
un;
fils;
pour;
lui;
;
une;
fille;
pour;
elle;
.;
Et;
elle;
les;
voyait;
courant;
sur;
l';
herbe;
;
entre;
le;
platane;
et;
le;
tilleul;
;
tandis;
que;
le;
père;
et;
la;
mère;
les;
suivraient;
d';
un;
œil;
ravi;
;
en;
échangeant;
par;
-;
dessus;
leurs;
têtes;
des;
regards;
pleins;
de;
passion;
.;
Et;
elle;
resta;
longtemps;
;
longtemps;
;
à;
rêvasser;
ainsi;
;
tandis;
que;
la;
lune;
;
achevant;
son;
voyage;
à;
travers;
le;
ciel;
;
allait;
disparaître;
dans;
la;
mer;
.;
L';
air;
devenait;
plus;
frais;
.;
Vers;
l';B-LOC
orient;I-LOC
;
l';
horizon;
pâlissait;
.;
Un;
coq;
chanta;
dans;
la;
ferme;
de;
droite;
;
d';
autres;
répondirent;
dans;
la;
ferme;
de;
gauche;
.;
Leurs;
voix;
enrouées;
semblaient;
venir;
de;
très;
loin;
à;
travers;
la;
cloison;
des;
poulaillers;
;
et;
dans;
l';
immense;
voûte;
du;
ciel;
;
blanchie;
insensiblement;
;
les;
étoiles;
disparaissaient;
.;
Un;
petit;
cri;
d';
oiseau;
s';
éveilla;
quelque;
part;
.;
Des;
gazouillements;
;
timides;
d';
abord;
;
sortirent;
des;
feuilles;
;
puis;
ils;
s';
enhardirent;
