;8;127;10;10
Eyssette
(
Jacques
)
n'
en
put
venir
a
bout
...
Que
voulez
-vous
?
les
poemes
ont
leurs
destinees
	;	
il
parait
que
la
destinee
de
Religionl
Religionl
poeme
en
douze
chants
,
etait
de
ne
pas
etre
en
douze
chants
du
tout
.
Le
pokete
eut
beau
faire
,
il
n'
alla
jamais
plus
loin
que
les
quatre
premiers
vers
.
C'
etait
fatal
.
A
la
fin
,
le
malheureux
gargon
,
impatiente
,
envoya
son
poeme
au
diable
et
congedia
la
Muse
(
on
disait
encore
la
Muse
dans
ces
temps
-
la
)
.
Le
jour
meme
,
ses
sanglots
le
reprirent
et
les
petits
pots
de
colle
reparurent
devant
le
feu
...
Et
le
cahier
rouge
?
...
Ohl
le
cahier
rouge
,
il
avait
sa
destinee
aussi
,
celui
-
la
.
Jacques
me
dit
:
e
te
le
donne
,
mets
-
y
ce
que
tu
voudras
.
Savez
-vous
ce
que
j'
y
mis
,
moi
...
Mes
poesies
,
parbleul
les
poesies
du
petit
Chose
.
Jacques
m'
avait
donne
son
mal
.
Et
maintenant
,
si
le
lecteur
le
veut
bien
,
pendant
que
le
petit
Chose
est
en
train
de
cueillir
des
rimes
,
nous
allons
d'
une
enjambee
franchir
quatre
ou
cinq
annees
de
sa
vie
.
'
ai
hate
d'
arriver
a
un
certain
prin-
(
r
)
Les
voici
,
ces
quatre
vers
.
Les
voici
tels
que
je
les
ai
vus
ce
soir
-
la
,
moules
en
belle
ronde
a
la
premibere
page
du
cahier
rouge
:
Religion
l
Religion
l
Mot
sublime
1
Mysterel
Voix
touchante
et
solitaire
.
Compassionl
Compassionl
Ne
riez
pas
,
cela
lui
avait
cote
beaucoup
de
mal.z8
LE
PETIT
CHOSE
temps
de
r8
..
,
dont
la
maison
Eyssette
n'
a
pas
encore
aujourd'hui
perdu
le
souvenir
	;	
on
a
comme
cela
des
dates
dans
les
familles
.
Du
reste
,
ce
fragment
de
ma
vie
que
je
passe
sous
silence
,
le
lecteur
ne
perdra
rien
a
ne
pas
le
connaitre
.
C'
est
toujours
la
meme
chanson
,
des
larmes
et
de
la
miserel
les
affaircs
qui
ne
vont
pas
,
des
loyers
en
retard
,
des
creanciers
qui
font
des
scenes
,
les
diamants
de
la
mere
vendus
,
l'
argenterie
au
mont-de-piete
,
les
draps
de
lit
qui
ont
des
trous
,
les
pantalons
qui
ont
des
pieces
,
des
privations
de
toutes
sortes
,
des
humiliations
de
tous
les
jours
,
l'
eternel
comment
ferons
-nous
demain
le
coup
de
sonnette
insolent
des
huissiers
,
le
concierge
qui
sourit
quand
on
passe
,
et
puis
les
emprunts
,
et
puis
les
protets
,
et
puis
..
et
puis
...
Nous
voila
donc
en
r8
...
Cette
annee
-
la
,
le
petit
Chose
achevait
sa
philosophie
.
C'
etait
,
si
j'
ai
bonne
memoire
,
un
jeune
garcon
tres
pretentieux
,
se
prenant
tout
ha
fait
au
serieux
comme
philosophe
et
aussi
comme
poete
	;	
du
reste
,
pas
plus
haut
qu'
une
botte
et
sans
un
poil
de
barbe
au
menton
.
Or
,
un
matin
que
ce
grand
philosophe
de
petit
Chose
se
dispo-
sait
a
aller
en
classe
,
M.
Eyssette
pere
l'
appela
dans
le
magasin
et
,
sitot
qu'
il
le
vit
entrer
,
lui
fit
de
sa
voix
brutale
:
-
Daniel
,
jette
tes
livres
,
tu
ne
vas
plus
au
college
.
Ayant
dit
cela
,
M.
Eyssette
pere
se
mit
a
marcher
a
grands
pas
dans
le
magasin
,
sans
parler
.
Il
paraissait
tres
emu
,
et
le
petit
Chose
aussi
,
je
vous
assure
...
Apres
un
long
moment
de
silence
,
M.
Eyssette
pere
reprit
la
parole
:
-
Mon
garcon
,
dit
-il
,
j'
ai
une
mauvaise
nouvelle
a
t'
apprendre
,
ohl
bien
mauvaise
...
nous
allons
etre
obliges
de
nous
separer
tous
,
voici
pourquoi
.
Ici
,
un
grand
sanglot
,
un
sanglot
dechirant
retentit
derriere
la
porte
entre-baillee
.
-
Jacques
,
tu
es
un
nel
cria
M.
Eyssette
sans
se
retourner
,
puis
il
continua
:
-
Quand
nous
sommes
venus
a
Lyon
,
il
y
a
six
ans
,
ruines
par
les
revolutionnaires
,
j'
esperais
,
a
force
de
travail
,
arriver
a
reconstruire
notre
fortune
	;	
mais
le
demon
s'
en
melel
Je
n'
ai
reussi
qu'
a
nous
enfoncer
jusqu'
au
cou
dans
les
dettes
et
dans
la
misere
...
A
present
,
c'
est
fini
,
nous
sommes
embourbes
...
Pour
sortir
de
la
,
nous
n'
avonsLE
CAHIER
ROUGE
2
g
qu'
un
parti
a
prendre
,
maintenant
que
vous
voila
grandis
:
vendre
le
peu
qui
nous
reste
et
chercher
notre
vie
chacun
de
notre
cOte
.
Un
nouveau
sanglot
de
l'
invisible
acques
vint
interrompre
M.
Eyssette
	;	
mais
il
etait
tellement
emu
lui
-
meme
qu'
il
ne
se
facha
pas
.
Il
fit
seulement
signe
a
Daniel
de
fermer
la
porte
,
et
,
la
porte
fermee
,
il
reprit
:
--
Voici
donc
ce
que
j'
ai
decide
:
jusqu'
a
nouvel
ordre
,
ta
mere
va
s'
en
aller
vivre
dans
le
Midi
,
chez
son
frere
,
l'
oncle
Baptiste
.
Jacques
restera
a
Lyon
	;	
il
a
trouve
un
petit
emploi
au
mont-de-piete
.
Moi
,
j'
entre
comme
commis
-
voyageur
a
la
Societe
vinicole
...
Quant
a
toi
,
mon
pauvre
enfant
,
il
va
falloir
aussi
que
tu
gagnes
ta
vie
...
Justement
,
je
regois
une
lettre
du
recteur
qui
te
propose
une
place
de
maitre
d'
etude
	;	
tiens
,
lis
Le
petit
Chose
prit
la
lettre
.
-
D'
apres
ce
que
je
vois
,
dit
-il
tout
en
lisant
,
je
n'
ai
pas
de
temps
a
perdre
.
--
C'
est
bien
,
je
partirai
...
La
-
dessus
le
petit
Chose
replia
la
lettre
et
la
rendit
a
son
pere
d'
unc
main
qui
ne
tremblait
pas
.
C'
etait
un
grand
philosophe
,
comme
vous
voyez
.
A
ce
moment
,
Mme
Eyssette
entra
dans
le
magasin
,
puis
Jacques
timidement
derriere
elle
...
Tous
deux
s'
approcherent
du
petit
Chose
et
l'
embrasserent
en
silence
	;	
depuis
la
veille
ils
etaient
au
courant
de
ce
qui
se
passait
.
-
Qu'
on
s'
occupe
de
sa
mallel
fit
brusquement
M.
Eyssette
,
il
part
demain
matin
par
le
bateau
.
Mme
Eyssette
poussa
un
gros
soupir
,
Jacques
esquissa
un
sanglot
,
et
tout
fut
dit
.
On
commencait
a
etre
fait
au
malheur
dans
cette
maison
-
la
Le
lendemain
de
cette
journee
memorable
,
toute
la
famille
accom-
pagna
le
petit
Chose
au
bateau
.
Par
une
coincidence
singuliere
,
c'
etait
le
meme
bateau
qui
avait
amene
les
Eyssette
a
Lyon
six
ans
auparavant
.
Capitaine
Genies
,
maitre
-
coq
Montelimartl
Naturellement
on
se
rappela
le
parapluie
d'
Annou
,
le
perroquet
de
Robinson
,
et
quelques
autres
episodes
du
debarquement
...
Ces
souvenirs
egayerent
un
peu
ce
triste
depart
,
et
amenerent
l'
ombre
d'
un
sourire
sur
les
levres
de
Me
Eyssette
.
Tout
a
coup
la
cloche
sonna
.
Il
fallait
partir.3e
LE
PETIT
CHOSE
Le
petit
Chose
,
s'
arrachant
aux
etreintes
de
ses
amis
,
franchit
bravement
la
passerelle
...
-
Sois
serieux
,
lui
cria
son
pere
.
-
Ne
sois
pas
malade
,
dit
Mme
Eyssette
.
Iacques
voulait
parler
,
mais
il
ne
put
pas
	;	
il
pleurait
trop
.
Le
petit
Chose
ne
pleurait
pas
,
lui
.
Comme
j'
ai
eu
l'
honneur
de
vous
le
dire
,
c'
etait
un
grand
philosophe
,
et
positivement
les
philo-
sophes
ne
doivent
pas
s'
attendrir
...
Et
pourtant
,
Dieu
sait
s'
il
les
aimait
,
ces
cheres
creatures
qu'
il
laissait
derriere
lui
,
dans
le
brouillard
.
Dieu
sait
s'
il
aurait
donne
volon-
tiers
pour
elles
tout
son
sang
et
toute
sa
chair
...
IMais
que
voulez
-vous
La
joie
de
quitter
Lyon
,
le
mouvement
du
bateau
,
l'
ivresse
du
voyage
,
l'
orgueil
de
se
sentir
homme
,
-
homme
libre
,
homme
fait
,
voyageant
seul
et
gagnant
sa
vie
,
-
tout
cela
grisait
le
petit
Chose
et
l'
empechait
de
songer
,
comme
il
aurait
d
,
aux
trois
etres
cheris
qui
sanglotaient
la
-
bas
,
debout
sur
les
quais
du
Rhone
...
Ahl
ce
n'
etaient
pas
des
philosophes
,
ces
trois-la
.
D'
un
aeil
anxicux
et
plein
de
tendresse
,
ils
suivaient
la
marche
asthmatique
du
navire
,
et
son
panache
de
fumee
n'
etait
pas
plus
gros
qu'
une
hirondelle
a
l'
horizon
,
qu'
ils
criaient
encore
:
aAdieul
adieuln
en
faisant
des
signes
.
Pendant
ce
temps
,
monsieur
le
philosophe
se
promenait
de
long
en
large
sur
le
pont
,
les
mains
dans
les
poches
,
la
tete
au
vent
.
Il
sifflotait
,
crachait
tres
loin
,
regardait
les
dames
sous
le
nez
,
inspectait
la
maneuvre
marchait
des
epaules
comme
un
gros
homme
,
se
trouvait
charmant
.
Avant
qu'
on
ft
seulement
a
Vienne
,
il
avait
appris
au
maitre
-
coq
Montelimart
et
a
ses
deux
marmitons
qu'
il
etait
dans
1'Universite
et
qu'
il
y
gagnait
fort
bien
sa
vie
...
Ces
messieurs
lui
en
firent
compli-
ment
.
Cela
le
rendit
tres
fier
.
Une
fois
,
en
se
promenant
d'
un
bout
a
l'
autre
du
navire
,
notre
philosophe
heurta
du
pied
,
a
l'
avant
,
pres
de
la
grosse
cloche
,
un
paquet
de
cordes
sur
lequel
,
a
six
ans
de
la
,
Robinson
Crusoe
,
etait
venu
s'
asseoir
pendant
de
longues
heures
,
son
perroquet
entre
les
jambes
.
Ce
paquet
de
cordes
le
fit
beaucoup
rire
et
un
peu
rougir
.
-
Que
je
devais
etre
ridicule
,
pensait
-il
,
de
trainer
partout
avec
moi
cette
grande
cage
peinte
en
bleu
et
ce
perroquet
fantastique
...
Pauvre
philosophel
il
ne
se
doutait
pas
que
pendant
toute
sa
vie
il
etait
condamne
a
trafner
ainsi
ridiculement
cette
cage
peinte
en
bleu
,
couleur
d'
illusion
,
et
ce
perroquert
vert
,
couleur
d'
esperance
.
LE
CAHIER
ROUGE
Helasl
a
l'
heure
ou
j'
ecris
ces
lignes
,
le
malheureux
gargon
la
porte
encore
,
sa
grande
cage
peinte
en
bleu
.
Seulement
de
jour
en
jour
l'
azur
des
barreaux
s'
ecaille
et
le
perroquet
vert
est
aux
trois
quarts
deplume
,
pecairel
Le
premier
soin
du
petit
Chose
,
en
arrivant
dans
sa
ville
natale
,
fut
de
se
rendre
a
l'
Academie
,
oi
logeait
M.
le
recteur
.
Ce
recteur
,
ami
d'
Eyssette
pere
,
etait
un
grand
beau
vieux
,
alerte
et
sec
,
n'
ayant
rien
qui
sentit
le
pedant
,
ni
quoi
que
ce
ft
de
semblable
.
Il
accueillit
Eyssette
fils
avec
une
grande
bienveillance
.
Toutefois
,
quand
on
l'
introduisit
dans
son
cabinet
,
le
brave
homme
ne
put
retenir
un
geste
de
surprise
.
-
Ahl
mon
Dieul
dit
-il
,
comme
il
est
petitl
Le
fait
est
que
le
petit
Chose
etait
ridiculement
petit
	;	
et
puis
l'
air
si
jeune
,
si
mauviette
.
L'
exclamation
du
recteur
lui
porta
un
coup
terrible
.
aIls
ne
vont
pas
vouloir
de
moi
,
pensa
-t
-il
.
Et
tout
son
corps
se
mit
a
trembler
.
Heureusement
,
comme
s'
il
et
devine
ce
qui
se
passait
dans
cette
pauvre
petite
cervelle
,
le
recteur
reprit
:
-
Approche
ici
,
mon
garcon
...
Nous
allons
donc
faire
de
toi
un
maitre
d'
etude
...
A
ton
age
,
avec
cette
taille
et
cette
figure
-
la
,
le
metier
te
sera
plus
dur
qu'
a
un
autre
...
Mais
enfin
,
puisqu'
il
le
faut
,
puisqu'
il
faut
que
tu
gagnes
ta
vie
,
mon
cher
enfant
,
nous
arrangerons
cela
pour
le
mieux
...
En
commencant
,
on
ne
te
mettra
pas
dans
une
grande
baraque
...
Je
vais
t'
envoyer
dans
un
college
communal
,
a
quelques
lieues
d'
ici
,
a
Sarlande
,
en
pleine
montagne
...
Lha
tu
feras
ton
appren-
tissage
d'
homme
,
tu
t'
aguerriras
au
metier
,
tu
grandiras
,
tu
prendras
de
la
barbe
	;	
puis
,
le
poil
venu
,
nous
verronsl
Tout
en
parlant
,
M.
le
recteur
ecrivait
au
principal
du
college
de
Sarlande
pour
lui
presenter
son
protege
.
La
lettre
terminee
,
il
la
remit
au
petit
Chose
et
l'
engagea
a
partir
le
jour
meme
	;	
la
-
dessus
,
il
lui
donna
quelques
sages
conseils
et
le
congedia
d'
une
tape
amicale
sur
la
joue
en
lui
promettant
de
ne
pas
le
perdre
de
vue
.
Voila
mon
petit
Chose
bien
content
.
Quatre
a
quatre
il
degringole
l'
escalier
seculaire
de
l1'Academie
et
s'
en
va
d'
une
haleine
retenir
sa
place
pour
Sarlande
.
La
diligence
ne
part
que
dans
l'
apres-midi
	;	
encore
quatre
heures
a
attendrel
Le
petit
Chose
en
profite
pour
aller
parader
au
soleil
sur32
LE
PETIT
CHOSE
l'
esplanade
et
se
montrer
a
ses
compatriotes
.
Ce
premier
devoir
accompli
,
il
songe
a
prendre
quelque
nourriture
et
se
met
en
quete
d'
un
cabaret
a
portee
de
son
escarcelle
...
Juste
en
face
les
casernes
,
il
en
avise
un
propret
,
reluisant
,
avec
une
belle
enseigne
toute
neuve
:
AU
C0MP1GNON
DU
TOUR
DE
FRANCE
-
Voici
mon
affaire
,
se
dit
-il
.
Et
apres
quelques
minutes
d'
hesi-
tation
,
-
c'
est
la
premiere
fois
que
le
petit
Chose
entre
dans
un
restau-
rant
,
-
il
pousse
resolument
la
porte
.
Le
cabaret
est
desert
pour
le
moment
.
Des
murs
peints
a
la
chaux
...
,
quelques
tables
de
chene
...
Dans
un
coin
de
longues
cannes
de
compa-
gnons
,
a
bouts
de
cuivre
,
ornees
de
rubans
multicolores
...
Au
comptoir
un
gros
homme
qui
ronfle
,
le
nez
dans
un
journal
.
-
Holhal
quelqu'
unl
dit
le
petit
Chose
,
en
frappant
de
son
poing
ferme
sur
les
tables
,
comme
un
vieux
coureur
de
tavernes
.
Le
gros
homme
du
comptoir
ne
se
reveille
pas
pour
si
peu
	;	
mais
du
fond
de
l'
arriere
-
boutique
,
la
cabaretiere
accourt
...
En
voyant
le
nouveau
client
que
l'
ange
Hasard
lui
amene
,
elle
pousse
un
grand
cri
:
-
Misericordel
monsieur
Daniell
-
Annoul
ma
vieille
Annoul
repond
le
petit
Chose
.
Et
les
voilh
dans
les
bras
l'
un
de
l'
autre
.
Ehl
mon
Dieu
,
oui
,
c'
est
Annou
,
la
vieille
Annou
,
anciennement
bonne
des
Eyssette
,
maintenant
cabaretiere
,
mere
des
compagnons
,
mariee
ha
ean
Peyrol
,
ce
gros
qui
ronfle
l
-
bas
dans
le
comptoir
...
Et
comme
elle
est
heureuse
,
si
vous
saviez
,
cette
brave
Annou
,
comme
elle
est
heureuse
de
revoir
M.
Daniell
Comme
elle
l'
embrassel
comme
elle
1'etreintl
comme
elle
1'etouffel
Au
milieu
de
ces
effusions
,
l'
homme
du
comptoir
se
reveille
.
Il
s'
etonne
d'
abord
un
peu
du
chaleureux
accueil
que
sa
femme
est
en
train
de
faire
a
ce
jeune
inconnu
	;	
mais
quand
on
lui
apprend
que
ce
jeune
inconnu
est
M.
Daniel
Eyssette
en
personne
,
Jean
Peyrol
devient
rouge
de
plaisir
et
s'
empresse
autour
de
son
illustre
visiteur
.
-
Avez
-vous
dejeune
,
monsieur
Daniel
?
-
Ma
foil
non
,
mon
bon
Peyrol
	;	
...
c'
est
precisement
ce
qui
m'
a
fait
entrer
ici
.
Justice
divinel
...
M.
Daniel
n'
a
pas
dejeunel
...
La
vieille
Annou3
5
.n
1
l
W
I
2
re
,
A
4
d
'
N
M
.
,
`
h
2
C
wrtu
.
a
MW
I.1
ii
iii
1
i-----
'
----f
.
4
'
	;	
y
.
.
H
,
Y-
A
hx--
.
'
hM
r
J
L
v=
'
3
'
y
,
.MN
5
f
L---
Ls
e
:
g
-is
N
e
a
--
r
'
.
q
----
.
,
,
-'-
.
.
f
1
ati
.
:
 
.
:
'
:
..
=
-e
.
.
,
N.
.
'
A.
.
.
y
`
x
.-
iei
M
'
.H
.==
l
--
C
---
e
L
,
.
....
,
---==5
:
C
E
..
--a
e.
C
-
r-
'
41i
e
'
,
.-C--
x
:
:
:
G
'
-ra
R
-
L
,
k
)
in
'
it
'
.
.
2
i
..
-
aZ
7-
it
g
=
a
:
yJI
 
77
----I3
N
WN2L.
.----
[
-e
(
4
1I
:
1
]
I
t
,
r.
1IN1
:
..
I
r
1
I.
.
r
'
I.-
.
,
.
.
:
L.R
.
I
Iz-
:
=
F
,
r
rY
.
-
L
1:3
l/
le
I1
1II1
i
e
.
I
(
:
:
-r
,
I
1
,
a
]
R
r
	;	
t
.
(
.
,
'
Eh
JA
..
/
Il
A--
h
L
--
:
-=--
f--
g
-
r
It
1
s
W
g.
r.
'
F
2
`
Lr
,
h
..
-s'`,,
..
5
-
-LYI
LE
CAHIER
ROUGE
court
a
sa
cuisine
	;	
Jean
Peyrol
se
precipite
a
la
cave
,
-
une
fiere
cave
,
au
dire
des
compagnons
.
En
un
tour
de
main
,
le
couvert
est
mis
,
la
table
est
paree
,
le
petit
Chose
n'
a
qu'
a
s'
asseoir
et
ha
fonctionner
...
A
sa
gauche
,
Annou
lui
taille
des
mouillettes
pour
ses
eufs
,
des
eufs
du
matin
,
blancs
,
cre-
meux
,
duvetes
...
A
sa
droite
,
ean
Peyrol
lui
verse
un
vieux
Chateau-
Neuf-des-Papes
,
qui
semble
une
poignee
de
rubis
jetee
au
fond
de
son
verre
...
Le
petit
Chose
est
tres
heureux
,
il
boit
comme
un
Templier
,
mange
comme
un
Hospitalier
,
et
trouve
encore
moyen
de
raconter
,
entre
deux
coups
de
dent
,
qu'
il
vient
d'
entrer
dans
1'Universite
,
ce
qui
le
met
a
meme
de
gagner
honorablement
sa
vie
.
Il
faut
voir
de
quel
air
il
dit
cela
:
gagner
honorablement
sa
viel
-
La
vieille
Annou
s'
en
pame
d'
admiration
.
L'
enthousiasme
de
ean
Peyrol
est
moins
vif
.
Il
trouve
tout
simple
que
M.
Daniel
gagne
sa
vie
,
puisqu'
il
est
en
etat
de
la
gagner
.
A
l'
age
de
M.
Daniel
,
lui
,
Jean
Peyrol
,
courait
le
monde
depuis
deja
quatre
ou
cinq
ans
,
et
ne
cotait
plus
un
liard
a
la
maison
,
au
contraire
...
Bien
entendu
,
le
digne
cabaretier
garde
ses
reflexions
pour
lui
seul
.
oser
comparer
Jean
Peyrol
a
Daniel
Eyssettel
...
Annou
ne
le
souffrirait
pas
.
En
attendant
,
le
petit
Chose
va
son
train
.
Il
parle
,
il
boit
,
il
mange
,
il
s'
anime
	;	
ses
yeux
brillent
,
sa
joue
s'
allume
.
Holhl
mattre
Peyrol
,
qu'
on
aille
chercher
des
verresl
le
petit
Chose
va
trinquer
...
Jean
Peyrol
apporte
les
verres
et
on
trinque
...
d'
abord
h
Mme
Eyssette
,
ensuite
a
M.
Eyssette
,
puis
a
Jacques
,
a
Daniel
,
a
la
vieille
Annou
,
au
mari
d'
Annou
,
h
1'Universite
...
a
quoi
encore
?
'
...
Deux
heures
se
passent
ainsi
en
libations
et
en
bavardages
.
On
cause
du
passe
couleur
de
deuil
,
de
l'
avenir
couleur
de
rose
.
On
se
rappelle
la
fabrique
,
Lyon
,
la
rue
Lanterne
,
ce
pauvre
abbe
qu'
on
aimait
tant
...
Tout
ha
coup
le
petit
Chose
se
leve
pour
partir
..
-
Dejh
,
dit
tristement
la
vieille
Annou
.
Le
petit
Chose
s'
excuse
	;	
il
a
quelqu'
un
de
la
ville
a
voir
avant
de
s'
en
aller
,
une
visite
tres
importante
...
Quel
dommagel
on
etait
si
bien
l
...
On
avait
tant
de
choses
a
se
raconter
encorel
...
Enfin
,
puisqu'
il
le
faut
,
puisque
M.
Daniel
a
quelqu'
un
de
la
ville
a
voir
,
ses
amis
du
Tour
de
France
ne
veulent
pas
le
retenir
plus
longtemps
...
a
Bon
voyage
,
monsieur
Daniell
Dieu
vous
conduise
,
notre
cher
maitre
l
n
Et
jusqu'
au34
LE
PETIT
CHOSE
milieu
de
la
rue
,
ean
Peyrol
et
sa
femme
l'
accompagnent
de
leurs
benedictions
.
Or
,
savez
-vous
quel
est
ce
quelqu'
un
de
la
ville
que
le
Petit
Chose
veut
voir
avant
de
partir
?
C'
est
la
fabrique
,
cette
fabrique
qu'
il
aimait
tant
et
qu'
il
a
tant
pleureel
...
c'
est
le
jardin
,
les
ateliers
,
les
grands
platanes
,
tous
les
amis
de
son
enfance
,
toutes
ses
joies
du
premier
jour
...
Que
voulez
-vous
Le
ceur
de
l'
homme
a
de
ces
faiblesses
	;	
il
aime
ce
qu'
il
peut
,
meme
du
bois
,
meme
des
pierres
,
meme
une
fabrique
...
D'
ailleurs
,
l'
histoire
est
la
pour
vous
dire
que
le
vieux
Robinson
,
de
retour
en
Angleterre
,
reprit
la
mer
,
et
fit
je
ne
sais
combien
de
mille
lieues
pour
revoir
son
ile
deserte
.
Il
n'
est
donc
pas
etonnant
que
,
pour
revoir
la
sienne
,
le
petit
Chose
fasse
quelques
pas
.
Deja
les
grands
platanes
,
dont
la
tete
empanachee
regarde
par-
dessus
les
maisons
,
ont
reconnu
leur
ancien
ami
qui
vient
vers
eux
ha
toutes
jambes
.
De
loin
ils
lui
font
signe
et
se
penchant
les
uns
vers
les
autres
,
comme
pour
se
dire
:
voilh
Daniel
Eyssettel
Daniel
Eyssette
est
de
retourl
Et
lui
se
depeche
,
se
depeche
	;	
mais
,
arrive
devant
la
fabrique
,
il
s'
arrete
stupefait
.
De
grandes
murailles
grises
sans
un
bout
de
laurier
-
rose
ou
de
grenadier
qui
depasse
...
Plus
de
fenetres
,
des
lucarnes
	;	
plus
d'
ateliers
,
une
chapelle
.
Au
-
dessus
de
la
porte
,
une
grosse
croix
de
gres
rouge
avec
un
peu
de
latin
autour.l
...
O
douleurl
la
fabrique
n'
est
plus
la
fabrique
	;	
c'
est
un
couvent
de
Carmelites
,
ou
les
hommes
n'
entrent
jamais
.
GAGNE
TA
VIE
Sarlande
est
une
petite
ville
des
Cevennes
,
batie
au
fond
d'
une
etroite
vallee
que
la
montagne
enserre
de
partout
comme
un
grand
mur
.
Quand
le
soleil
y
donne
c'
est
une
fournaise
:
quand
la
tramontane
souffle
,
une
glaciere
..
Le
soir
de
mon
arrivee
,
la
tramontane
faisait
rage
depuis
le
matin
	;	
et
quoiqu'
on
ft
au
printemps
,
le
petit
Chose
,
perche
sur
le
haut
de
la
diligence
,
sentit
,
en
entrant
dans
la
ville
,
le
froid
le
saisir
jusqu'
au
cur
.
Les
rues
etaient
noires
et
desertes
...
Sur
la
place
d'
armes
,
quelque
personnes
attendaient
la
voiture
,
en
se
promenant
de
long
en
large
devant
le
bureau
mal
eclaire
.
A
peine
descendu
de
mon
imperiale
,
je
me
fis
conduire
au
college
,
sans
perdre
une
minute
.
'
avais
hate
d'
entrer
en
fonctions
.
Le
college
n'
etait
pas
loin
de
la
place
	;	
apres
m'
avoir
fait
traverser
deux
ou
trois
larges
rues
silencieuses
,
l'
homme
qui
portait
ma
malle
s'
arreta
devant
une
grande
maison
,
ou
tout
semblait
mort
depuis
des
annees
.
-
C'
est
ici
,
dit
-il
,
en
soulevant
l'
enorme
marteau
de
la
porte
...
Le
marteau
retomba
lourdement
,
lourdement
...
La
porte
s'
ouvrit
d'
elle
-
meme
...
Nous
entrames.6
LE
PETIT
CHOSE
'
attendis
un
moment
sous
le
porche
,
dans
l'
ombre
.
L'
homme
posa
ma
malle
par
terre
,
je
le
payai
,
et
il
s'
en
alla
bien
vite
...
Derriere
lui
,
l'
enorme
porte
se
referma
lourdement
,
lourdement
...
Bientot
apres
,
un
portier
somnolent
,
tenant
a
la
main
une
grosse
lanterne
,
s'
approcha
de
moi
.
-
Vous
etes
sans
doute
un
nouveau
?
me
dit
-il
d'
un
air
endormi
.
Il
me
prenait
pour
un
eleve
...
-
Je
ne
suis
pas
un
eleve
du
tout
,
je
viens
ici
comme
maitre
d'
etudes
	;	
conduisez
-moi
chez
le
principal
...
Le
portier
parut
surpris
	;	
il
souleva
un
peu
sa
casquette
et
m'
engagea
ha
entrer
une
minute
dans
sa
loge
.
Pour
le
quart
d'
heure
,
M.
le
principal
etait
a
l'
eglise
avec
les
enfants
.
On
me
menerait
chez
lui
des
que
la
priere
du
soir
serait
terminee
.
Dans
la
loge
,
on
achevait
de
souper
.
Un
grand
beau
gaillard
a
moustaches
blondes
degustait
un
verre
d'
eau-de-vie
aux
cotes
d'
une
petite
femme
maigre
,
souffreteuse
,
jaune
comme
un
coing
et
emmi-
touflee
jusqu'
aux
oreilles
dans
un
chale
fane
.
-
Qu'
est
-ce
donc
,
monsieur
Cassagne
demanda
l'
homme
aux
moustaches
.
-
C'
est
le
nouveau
maitre
d'
etudes
,
repondit
le
concierge
en
me
designant
...
Monsieur
est
si
petit
que
je
l'
avais
d'
abord
pris
pour
un
eleve
.
-
Le
fait
est
,
dit
l'
homme
aux
moustaches
,
en
me
regardant
par-
dessus
son
verre
,
que
nous
avons
ici
des
eleves
beaucoup
plus
grands
et
meme
plus
ages
que
monsieur
...
Veillon
l'
afne
,
par
exemple
.
-
Et
Crouzat
,
ajouta
le
concierge
.
-
Et
Soubeyrol
...
fit
la
femme
.
La
-
dessus
,
ils
se
mirent
a
parler
entre
eux
a
voix
basse
,
le
nez
dans
leur
vilaine
eau-de-vie
et
me
devisageant
du
coin
de
l'
ceil
...
Au
dehors
on
entendait
la
tramontane
qui
ronflait
et
les
voix
criardes
des
eleves
recitant
les
litanies
a
la
chapelle
.
Tout
a
coup
une
cloche
sonna
	;	
un
grand
bruit
de
pas
se
fit
dans
les
vestibules
..
-
La
priere
est
finie
,
me
dit
M.
Cassagne
en
se
levant
	;	
montons
chez
le
principal
.
Il
prit
sa
lanterne
,
et
je
le
suivis
.
Le
college
me
sembla
immense
...
D'
interminables
corridors
,
de
grands
porches
,
de
larges
escaliers
avec
des
rampes
de
fer
ouvrage
...
GAGNE
TA
VIE
s7
tout
cela
vieux
,
noir
,
enfume
...
Le
portier
m'
apprit
qu'
avant
8
g
la
maison
etait
une
ecole
de
marine
,
et
qu'
elle
avait
compte
jusqu'
a
huit
cents
eleves
,
tous
de
la
plus
grande
noblesse
.
Comnme
il
achevait
de
me
donner
ces
precieux
renseignements
,
nous
arrivions
devant
le
cabinet
du
principal
...
M.
Cassagne
poussa
doucement
une
double
porte
matelassee
,
et
frappa
deux
fois
contre
la
boiserie
.
Une
voix
repondit
:
Entrezl
Nous
entrames
.
C'
etait
un
cabinet
de
travail
tres
vaste
,
a
tapisserie
verte
.
Tout
au
fond
,
devant
une
longue
table
,
le
principal
ecrivait
a
la
lueur
pale
d'
une
lampe
dont
l'
abat-jour
etait
completement
baisse
.
-
Monsieur
le
principal
,
dit
le
portier
en
me
poussant
devant
lui
,
voici
le
nouveau
maitre
qui
vient
pour
remplace
M.
Serrieres
.
-
C'
est
bien
,
fit
le
principal
sans
se
deranger
.
Le
portier
s'
inclina
et
sortit
.
e
restai
debout
au
milieu
de
la
piece
,
en
tortillant
mon
chapeau
entre
mes
doigts
.
Quand
il
eut
fini
d'
ecrire
,
le
principal
se
tourna
vers
moi
,
et
je
pus
examiner
a
mon
aise
sa
petite
face
palotte
et
seche
,
eclairee
par
deux
yeux
froids
,
